id,judul,konten,link
DOC-001,Application of Machine Learning in Healthcare and Medicine,"Literature review yang membahas penerapan machine learning dalam bidang kesehatan untuk diagnosis penyakit, prediksi kondisi pasien, pengolahan data medis, serta tantangan keamanan data dan etika penggunaan AI.",https://journal.umy.ac.id/index.php/jrc/article/view/19640
DOC-002,Machine Learning in Healthcare,"Review yang menjelaskan penerapan machine learning pada radiologi, genetika, rekam medis elektronik, dan neuroimaging untuk meningkatkan akurasi diagnosis dan kualitas layanan kesehatan.",https://pmc.ncbi.nlm.nih.gov/articles/PMC8822225/
DOC-003,A Comprehensive Review on Machine Learning in Healthcare Industry,"Mengulas berbagai algoritma machine learning yang digunakan untuk diagnosis penyakit, klasifikasi citra medis, analisis data kesehatan, dan prediksi kondisi pasien.",https://www.mdpi.com/1424-8220/23/9/4178
DOC-004,Machine Learning and Deep Learning-Based Approach in Smart Healthcare,"Membahas penggunaan machine learning dan deep learning pada sistem kesehatan pintar melalui integrasi wearable devices, genomik, dan rekam medis elektronik.",https://pmc.ncbi.nlm.nih.gov/articles/PMC11007421/
DOC-005,The Use of Machine Learning for Analyzing Real-World Data in Healthcare,"Systematic review tentang pemanfaatan machine learning untuk analisis data kesehatan dunia nyata, prediksi penyakit, dan pengambilan keputusan klinis.",https://medinform.jmir.org/2025/1/e68898/
DOC-006,Evaluating the Impact of Educational Technology on Learning Outcomes in Higher Education Sector,Kajian sistematis yang meneliti dampak teknologi pendidikan terhadap hasil belajar mahasiswa dan peningkatan keterlibatan dalam pembelajaran.,https://oarjpublication.com/journals/oarjms/sites/default/files/OARJMS-2024-0026.pdf
DOC-007,Reviewing the Effectiveness of Educational Technologies on Student Learning Outcomes,Mengkaji efektivitas teknologi pendidikan dalam membantu guru menyampaikan materi dan meningkatkan pemahaman siswa terhadap pembelajaran.,https://influence-journal.com/index.php/influence/article/view/120
DOC-008,The Impact of Educational Technology on Student Learning Outcomes,"Membahas pengaruh teknologi pendidikan terhadap prestasi akademik, kemampuan kognitif, dan keterampilan siswa.",https://webofproceedings.org/proceedings_series/ESSP/SSEHR%202023/SR46.pdf
DOC-009,Key Factors Influencing Educational Technology Adoption,Kajian sistematis mengenai faktor-faktor yang memengaruhi keberhasilan implementasi teknologi pendidikan seperti dukungan institusi dan kesiapan pengguna.,https://pmc.ncbi.nlm.nih.gov/articles/PMC12040101/
DOC-010,Engaging Students in Higher Education with Educational Technology,"Membahas strategi penggunaan teknologi pendidikan untuk meningkatkan motivasi belajar, keterlibatan mahasiswa, dan tingkat kelulusan.",https://link.springer.com/article/10.1007/s10639-024-12901-x
DOC-011,Artificial Intelligence in Education: A Review of Recent Research,"Mengulas perkembangan AI dalam pendidikan termasuk chatbot, tutor cerdas, dan sistem pembelajaran adaptif untuk meningkatkan personalisasi belajar.",https://www.sciencedirect.com/science/article/pii/S2666920X21000117
DOC-012,Big Data Analytics in Healthcare: A Systematic Review,"Membahas pemanfaatan big data analytics dalam layanan kesehatan untuk pengolahan data pasien, diagnosis penyakit, dan pengambilan keputusan medis.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7550852/
DOC-013,The Impact of Social Media on Academic Performance Among Students,Meneliti hubungan penggunaan media sosial dengan prestasi akademik mahasiswa serta dampak positif dan negatifnya terhadap proses belajar.,https://files.eric.ed.gov/fulltext/EJ1230757.pdf
DOC-014,Cyber Security Challenges and Emerging Trends,"Membahas berbagai ancaman keamanan siber seperti malware, phishing, ransomware, dan strategi perlindungan sistem informasi modern.",https://www.mdpi.com/2079-9292/11/14/2180
DOC-015,Sustainable Development and Environmental Management: A Review,"Mengulas konsep pembangunan berkelanjutan, pengelolaan lingkungan, dan strategi pengurangan dampak lingkungan pada berbagai sektor.",https://www.mdpi.com/2071-1050/13/4/1972
DOC-016,Blockchain Technology: Applications and Challenges,"Membahas penerapan blockchain dalam sektor keuangan, kesehatan, logistik, serta tantangan regulasi dan keamanan yang dihadapi.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8393574/
DOC-017,The Role of E-Commerce in Modern Business,"Mengkaji dampak e-commerce terhadap perkembangan bisnis modern, peningkatan efisiensi operasional, dan perluasan pasar digital.",https://www.researchgate.net/profile/Mohammad-Ali-12/publication/370822245
DOC-018,Digital Transformation in Small and Medium Enterprises (SMEs),"Membahas transformasi digital pada UKM, manfaat teknologi digital, serta hambatan yang dihadapi dalam implementasinya.",https://www.mdpi.com/2071-1050/14/9/5217
DOC-019,Climate Change and Its Impact on Global Agriculture,"Mengkaji dampak perubahan iklim terhadap produktivitas pertanian global, ketahanan pangan, dan keberlanjutan sektor pertanian.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9002766/
DOC-020,The Influence of Financial Literacy on Personal Financial Management,Membahas hubungan literasi keuangan dengan kemampuan individu dalam mengelola keuangan pribadi dan mengambil keputusan finansial yang tepat.,https://files.eric.ed.gov/fulltext/EJ1362734.pdf
